Connection time to charging station [h];Share of charging transactions
0;0,075089174
1;0,089052163
2;0,084570592
3;0,069967379
4;0,05356544
5;0,036309869
6;0,025608975
7;0,02820036
8;0,041492637
9;0,03755983
10;0,03707204
11;0,040699979
12;0,046431511
13;0,055242218
14;0,049205817
15;0,034511143
16;0,02682845
17;0,022590775
18;0,019237218
19;0,016737295
20;0,013261791
21;0,010426511
22;0,008536325
23;0,006707113
24;0,005518124
25;0,004237676
26;0,00292674
27;0,001859699
28;0,001524344
29;0,001128014
30;0,000579251
31;0,000914606
32;0,001280449
33;0,001249962
34;0,001341423
35;0,001920673
36;0,002256029
37;0,003231609
38;0,003536478
39;0,002804793
40;0,002408463
41;0,002865766
42;0,001890186
43;0,002286516
44;0,001890186
45;0,001310936
46;0,001432883
47;0,001341423
48;0,000945093
49;0,000548764
50;0,000518277
51;0,000274382
52;0,000121948
53;0,000152434
54;0,000426816
55;0,000243895
56;0,000213408
57;0,000457303
58;0,000396329
59;0,000274382
60;0,000670711
61;0,000945093
62;0,000792659
63;0,000884119
64;0,000853633
65;0,000640224
66;0,000396329
67;0,000609738
68;0,000548764
69;0,000457303
70;0,007987561
